engels	hypernym	nederlands	nederlands_alt	cat_en	cat_nl	uitspraak	notitie
dwarf		dwerg		races	rassen		
hill dwarf	dwarf	heuveldwerg		races	rassen		
mountain dwarf	dwarf	steendwerg		races	rassen		
duergar	dwarf	duargar		races	rassen	ˈdʋɑrχɑr	Duergar zijn wezens uit volksverhalen in Northumberland. Er is geen Nederlands equivalent van. Duergar (waarbij de u als een w wordt uitgesproken) klinkt voldoende anders dan dwarf, maar lijkt me wat te veel op dwerg, dus daarom heb ik de klinker veranderd.
elf		elf		races	rassen		
high elf	elf	hoge elf		races	rassen		
wood elf	elf	boself	woudelf	races	rassen		
dark elf / drow	elf	donkere elf / drouw		races	rassen		De term stamt af van drow/trow, een soort kwade elf uit volksverhalen in Orkney en Shetland. Dat woord heeft verder geen duidelijke oorsprong of Nederlandse vertaling. Drouw is een meer Nederlandse spelling ervan.
halfling		halveling		races	rassen		
lightfoot halfling	halfling	lichtvoetige halveling		races	rassen		
stout halfling	halfling	potige halveling		races	rassen		
human		mens		races	rassen		
dragonborn		drakentelg		races	rassen		
gnome		kabouter		races	rassen		
forest gnome	gnome	boskabouter		races	rassen		
rock gnome	gnome	rotskabouter		races	rassen		
deep gnome / svirfneblin	gnome	diepkabouter / svirfneblin		races	rassen		
half-elf		half-elf		races	rassen		
half-orc		half-ork		races	rassen		
tiefling		tiefeling	diepeling	races	rassen		Er is geen duidelijke oorsprong voor het woord tiefling; ze zijn geen figuur in folklore. Ik baseer deze vertaling op de theorie dat het van het Duitse woord tief (diep) komt, verwijzend naar de lower planes waar tieflings voorouders hebben. Tiefeling is dan de meest voor de hand liggende vertaling, en behoud de associatie met zowel dief als duivel. Diepeling heeft een andere klank, maar wel zijn eigen charme.
aarakocra		aarakocra		races	rassen		
bugbear		boekaros	boeman, boembeer	races	rassen		Bugbear wordt typisch vertaald als boeman: de woorden hebben dezelfde oorsprong en verwijzen naar ongeveer hetzelfde figuur, een soort wildeman waarmee kinderen angst aangejaagd wordt. Er zijn meer van zulke figuren in Nederlandse volksverhalen, zoals de boekaros en boembeer.
gith		gith		races	rassen	χɪt	
githzerai	gith	githzerai		races	rassen	ˈχɪtzərɑɪ	
githyanki	gith	githyanki		races	rassen	χɪtˈjɑŋki	
goblin		gobbelin	aardmannetje, ulk	races	rassen		In zowel Nederlandse als Engelse volkscultuur is er een vrij grote verzameling aan namen voor soortgelijke wezens: kleine mannetjes die je huis in komen en ofwel dingen kapot maken, of juist repareren. De verschillen tussen zulke termen zijn eerder in regio dan in inhoud. In het Nederlands zijn kabouters doorgaans goedaardig, terwijl de kwaadaardige variant vaak “aardmannetje”, “alvermannetje” of variaties daarop wordt genoemd. Ulken zijn ook zulke wezens, en een van de weinige woorden die wel goed klinken. Dit zijn dus redelijke vertalingen van goblin, hobgoblin en kobold, maar ik geef zelf de voorkeur aan neologismen die wat van de herkenbaarheid behouden.
hobgoblin		hobgobbelin		races	rassen		
kenku		kenku		races	rassen	ˈkɛŋku	
kobold		kobold		races	rassen		Kobold is etymologisch verwant aan kabouter, maar kobolden in D&D staan redelijk los van Nederlandse kabouters of Engelse kobolds.
lizardfolk		hagedissenvolk		races	rassen		
orc		ork		races	rassen		
yuan-ti pureblood		yuan-ti volbloed		races	rassen		
barbarian		barbaar		classes	klassen		
path of the berserker	barbarian	pad van de berserker	pad van de razer	classes	klassen		
path of the totem warrior	barbarian	pad van de totemkrijger		classes	klassen		In het Engels denkt men bij berserker aan berserk (woest/razend) maar de oorsprong van dat woord ligt bij zgn. berserkers, een type Noorse strijder die min of meer de eigenschappen van de barbarian klasse heeft. Berserk betekent berenhuid, wat deze krijgers droegen i.p.v. het gebruikelijke maliënkolder. In ieder geval is dat waarom ik berserker vertaal naar berserker. De alternatieve vertaling kiest voor de moderne connotatie van het woord.
bard		bard		classes	klassen		
college of lore	bard	college van legenden		classes	klassen		
college of valor	bard	college van moed		classes	klassen		
cleric		geestelijke		classes	klassen		
knowledge domain	cleric	domein van de kennis		classes	klassen		
life domain	cleric	domein van het leven		classes	klassen		
light domain	cleric	domein van het licht		classes	klassen		
nature domain	cleric	domein van de natuur		classes	klassen		
tempest domain	cleric	domein van de storm		classes	klassen		
trickery domain	cleric	domein van bedrog	domein van de streken	classes	klassen		
war domain	cleric	domein van de oorlog		classes	klassen		
druid		druïde		classes	klassen		
circle of the land	druid	kring van het land		classes	klassen		
circle of the moon	druid	kring van de maan		classes	klassen		
fighter		krijger		classes	klassen		
champion	fighter	kampioen	voorvechter	classes	klassen		
battle master	fighter	strijdmeester	krijgsmeester	classes	klassen		
eldritch knight	fighter	esoterische ridder		classes	klassen		
monk		monnik		classes	klassen		
way of the open hand	monk	weg van de open hand		classes	klassen		
way of shadow	monk	weg van de schaduw		classes	klassen		
way of the four elements	monk	weg van de vier elementen		classes	klassen		
paladin		paladijn		classes	klassen		
oath of devotion	paladin	eed van toewijding		classes	klassen		
oath of the ancients	paladin	eed van de ouden		classes	klassen		
